u,v,walk_dis_m,car_dis_m
667,670,6,2000000000
670,667,6,2000000000
670,504,19,2000000000
504,670,19,2000000000
329,671,64,2000000000
671,329,64,2000000000
672,326,8,2000000000
326,672,8,2000000000
326,673,7,2000000000
673,326,7,2000000000
162,681,28,2000000000
681,162,28,2000000000
681,682,59,2000000000
682,681,59,2000000000
682,683,53,2000000000
683,682,53,2000000000
683,684,18,2000000000
684,683,18,2000000000
684,685,18,2000000000
685,684,18,2000000000
685,686,5,2000000000
686,685,5,2000000000
686,687,35,2000000000
687,686,35,2000000000
687,688,49,2000000000
688,687,49,2000000000
688,689,16,2000000000
689,688,16,2000000000
689,690,27,2000000000
690,689,27,2000000000
690,691,26,2000000000
691,690,26,2000000000
691,692,22,2000000000
692,691,22,2000000000
692,693,26,2000000000
693,692,26,2000000000
693,694,35,2000000000
694,693,35,2000000000
694,695,66,2000000000
695,694,66,2000000000
695,696,9,2000000000
696,695,9,2000000000
696,697,5,2000000000
697,696,5,2000000000
697,698,26,2000000000
698,697,26,2000000000
698,699,43,2000000000
699,698,43,2000000000
149,700,38,38
700,149,38,38
700,701,62,62
701,700,62,62
701,702,40,40
702,701,40,40
590,702,81,81
702,590,81,81
701,703,12,12
703,701,12,12
703,704,17,17
704,703,17,17
704,705,16,16
705,704,16,16
705,706,17,17
706,705,17,17
706,700,23,23
700,706,23,23
388,707,58,58
707,388,58,58
707,708,31,31
708,707,31,31
708,709,42,42
709,708,42,42
709,710,29,29
710,709,29,29
710,711,28,28
711,710,28,28
711,188,80,80
188,711,80,80
711,712,71,71
712,711,71,71
712,75,96,96
75,712,96,96
713,714,6,6
714,713,6,6
714,715,8,8
715,714,8,8
715,716,21,21
716,715,21,21
320,717,26,26
717,320,26,26
717,718,33,33
718,717,33,33
718,719,61,61
719,718,61,61
719,720,29,29
720,719,29,29
720,721,107,107
721,720,107,107
222,722,33,33
722,222,33,33
722,723,8,8
723,722,8,8
723,724,4,4
724,723,4,4
724,725,3,3
725,724,3,3
725,726,23,23
726,725,23,23
726,221,44,44
221,726,44,44
724,727,48,48
727,724,48,48
727,728,8,8
728,727,8,8
728,729,8,8
729,728,8,8
729,730,7,7
730,729,7,7
730,731,6,6
731,730,6,6
731,732,7,7
732,731,7,7
732,733,4,4
733,732,4,4
733,734,3,3
734,733,3,3
734,735,7,7
735,734,7,7
735,736,7,7
736,735,7,7
736,737,7,7
737,736,7,7
737,727,8,8
727,737,8,8
733,738,24,24
738,733,24,24
739,730,9,9
730,739,9,9
736,740,10,10
740,736,10,10
225,227,94,94
227,225,94,94
741,742,2000000000,14
742,741,2000000000,2000000000
742,743,2000000000,22
743,742,2000000000,2000000000
743,744,2000000000,20
744,743,2000000000,2000000000
744,745,2000000000,21
745,744,2000000000,2000000000
745,746,2000000000,32
746,745,2000000000,2000000000
746,747,2000000000,41
747,746,2000000000,2000000000
747,748,2000000000,24
748,747,2000000000,2000000000
748,749,2000000000,33
749,748,2000000000,2000000000
749,750,2000000000,14
750,749,2000000000,2000000000
750,751,2000000000,13
751,750,2000000000,2000000000
751,752,2000000000,14
752,751,2000000000,2000000000
752,753,2000000000,12
753,752,2000000000,2000000000
753,754,2000000000,19
754,753,2000000000,2000000000
754,755,2000000000,12
755,754,2000000000,2000000000
755,756,2000000000,21
756,755,2000000000,2000000000
756,757,2000000000,25
757,756,2000000000,2000000000
757,758,2000000000,32
758,757,2000000000,2000000000
758,759,2000000000,61
759,758,2000000000,2000000000
759,760,2000000000,42
760,759,2000000000,2000000000
760,761,2000000000,70
761,760,2000000000,2000000000
762,763,21,21
763,762,21,2000000000
763,764,12,12
764,763,12,2000000000
764,765,23,23
765,764,23,2000000000
765,721,26,26
721,765,26,2000000000
721,766,11,11
766,721,11,2000000000
767,768,25,25
768,767,25,2000000000
768,769,12,12
769,768,12,2000000000
769,770,55,55
770,769,55,2000000000
770,674,2,2
674,770,2,2000000000
771,772,2000000000,16
772,771,2000000000,2000000000
772,773,2000000000,19
773,772,2000000000,2000000000
773,774,2000000000,25
774,773,2000000000,2000000000
774,775,2000000000,14
775,774,2000000000,2000000000
775,776,2000000000,23
776,775,2000000000,2000000000
776,777,2000000000,19
777,776,2000000000,2000000000
777,778,2000000000,11
778,777,2000000000,2000000000
778,779,2000000000,13
779,778,2000000000,2000000000
779,780,2000000000,11
780,779,2000000000,2000000000
780,781,2000000000,24
